KEY,name
Location(5862164373962752),An Underground Cavern
Location(5864787506364416),Spider Cave Tunnels
Location(5868511773065216),Tomb of Gol'Shlanek
Location(5871040932872192),Reward Hallway
Location(5871393041285120),Dry Bone Valley
Location(5878764641714176),Museum of Marcus
Location(5885099774312448),Nakeen's Test Room1
Location(5888182591684608),Test Collectable Parent
Location(5891198245404672),Arena Pit
Location(5895074189672448),Ferry
Location(5896838059655168),Rocky Hill
Location(5897906640912384),Troll Cave Entrance
Location(5898468364648448),Impact Site
Location(5900752649191424),Entrance to Militia Headquarters
Location(5901629580640256),Empty Room 1
Location(5902676069449728),Hidden Staircase
Location(5903223313399808),Keep Hallway 2
Location(5905412910219264),Mortachiani Mountain Peak
Location(5907800929075200),Nik's Cut-Through
Location(5908208107388928),Combat site: Hydra
Location(5909134097514496),Second Floor Landing
Location(5910834947031040),Old Tunnel
Location(5911244389482496),Massive Cavern
Location(5917286154108928),Tunnel Climb
Location(5918123464589312),Granite Passage
Location(5922422976937984),Elven Grove
Location(5925028669947904),Militia Entrancehall
Location(5926931222495232),Throne Room
Location(5928176714776576),Tunnel Climb
Location(5930570520985600),The Darkwood
Location(5930610346426368),Hidden Passage
Location(5933810929631232),Sirian Outer Unmarked House
Location(5934844607463424),Keep Kitchen
Location(5934960010592256),Lost Sea
Location(5935058894454784),Gate Ruins
Location(5937301674262528),The Darkwood
Location(5940601584353280),Lost Sea Shore
Location(5942116728438784),Death Valley
Location(5943675035058176),Aseridith Fort Marketplace
Location(5946849521565696),Arena Pit
Location(5947260731129856),Kayoak Outskirts
Location(5950401020952576),Lizardking Cell
Location(5951574616047616),Goliath Gulch Descent
Location(5952009308471296),Testing Chamber 05
Location(5953545588703232),South Kyprite Ruins
Location(5954978829041664),Elven Grove
Location(5961128701591552),Reward Room
Location(5963670924296192),Northern Volantis Coastline
Location(5963850839228416),Mortachiani Mountainside
Location(5965446383665152),Secret Passageway 3
Location(5965801278406656),Black Mountain
Location(5966051843506176),A Dark Gate Entrance
Location(5966873809125376),Common Area
Location(5967326629330944),Spider Cave Cavern
Location(5968272768368640),Tunnel Fork
Location(5972680490614784),Crypt
Location(5974674766823424),Aseridith Fort Guardtower
Location(5975805626679296),The Captains Office
Location(5976692956856320),Secret Passageway 2
Location(5976852092420096),Winding Marsh
Location(5978911666339840),Fortress Entrance
Location(5984081901780992),Troll Dig
Location(5985957178507264),Kayoak Marsh
Location(5988277165228032),Tunnel Climb
Location(5988384476758016),Black Vanguard Army Test
Location(5989522382258176),Deep Emerald Jungle
Location(5993303047143424),Forest Trail
Location(5993355440291840),Shore Cave Entrance
Location(5994813902028800),Ancient Tomb Entrance
Location(5998194032902144),Sirian Guardtower 2
Location(6000580091707392),Eastern Desert
Location(6002547550846976),Nakeen Test Arena Hallway
Location(6002887601684480),Aseridith Fort Secret Passage
Location(6003280660398080),Cathedral Grand Hall
Location(6004037778407424),Troll Caves
Location(6004484656332800),Orc Camp
Location(6008642717351936),Long Hall 4
Location(6010500529782784),High Road: Swampland
Location(6010831181971456),Cricketon Cave Entrance
Location(6011215039954944),Weathered Road
Location(6014266919878656),Coastline 2
Location(6015068596600832),Selene Plateau
Location(6016207203598336),Reward Room
Location(6018852616929280),Secret Passage
Location(6021008570187776),
Location(6024513825538048),Hallway to Pit Three
Location(6025776573972480),Strange Empty Room
Location(6029236821295104),Volantis Docks
Location(6030336146276352),Burial of Deimos
Location(6031623049183232),Arena Hallway
Location(6032842918199296),Ignus Training Room
Location(6033057970126848),Darkwood Trail
Location(6033592878628864),Mountain Plains Shrine
Location(6035026755452928),Deep Emerald Jungle
Location(6040093736304640),Militia Training Room
Location(6041514953146368),Forbidden Forest
Location(6043411645726720),Camwin's Backyard
Location(6044610405072896),Taelhollow Swamp
Location(6047192050565120),Combat site: Orc Prince
Location(6051842547253248),Arena Hallway
Location(6052839970832384),Hilgadas Castle East
Location(6056276392148992),Sunken Ruins
Location(6057435877343232),Reward Room
Location(6058118315245568),The Den of a Fallen Beast
Location(6060000365510656),Ornate Passageway
Location(6061716843528192),Lost Sea
Location(6062193298636800),Wasteland Overlook
Location(6062382437629952),Hobgoblin Warmonger's Tent
Location(6062991287517184),Deep Emerald Jungle
Location(6063976345501696),Hobgoblin Tribe Campsite
Location(6067293019176960),Eerie Glade
Location(6068142874296320),vulv_Monster Dungeon
Location(6068531256360960),Winding Marsh
Location(6070019941728256),Mine Cart 1
Location(6071858521178112),Tunnel Construction
Location(6073730381905920),Training Center
Location(6074183505149952),The Black Rift
Location(6074901505507328),Drow Vault
Location(6074912527876096),Debuff Instance End 10
Location(6078391494115328),Windy Expanse
Location(6078605499301888),Nakeen's Test Room3
Location(6079158806904832),Darkwood Trail
Location(6079554403696640),Sirian Inner East Wall
Location(6081417385869312),Arena Pit One
Location(6085761033043968),Raven Burial Site
Location(6086014583439360),Myrmidon Trail
Location(6086171007909888),Mysterious Tunnel
Location(6091971231219712),Darkwood Trail
Location(6092789555134464),Worn Road
Location(6092915968835584),Sacrificial Chambers
Location(6096234356146176),Eerie Lake Shore
Location(6096717938163712),Seaside Landing
Location(6096848884334592),Guard Tower
Location(6097270970253312),Cavern Lowlands
Location(6097569478344704),Golden Hollow
Location(6098789539512320),Troll Keep
Location(6100482340159488),Goliath Gulch Basin
Location(6102988783616000),Hallway to Pit Four
Location(6108023267524608),Deep Jungle
Location(6110365987373056),Orc Throneroom
Location(6111182702772224),Hollow Forest Walk
Location(6111874378104832),Darkwood Trail
Location(6118162982502400),Cathedral of Night
Location(6118406474694656),Endless Tunnel
Location(6118954053402624),Kings Chambers
Location(6119509349367808),vulv_Armory
Location(6121862960513024),Battlefields
Location(6123396480892928),Troll Dig
Location(6124874771726336),Warchief's Command Center
Location(6126263647600640),Reward Room
Location(6128325270437888),Dark Corridor
Location(6130580583874560),Winding Stairway
Location(6130757089361920),Arena Main Hub
Location(6131812940120064),Spooky House
Location(6132749391888384),Crypt Entrance
Location(6135225797574656),Icy Crevice
Location(6136783671656448),Testing Chamber 01
Location(6137649383866368),Hell
Location(6139491171434496),Fort Black: Panic Room
Location(6144503274536960),Kobold Settlement
Location(6145774217854976),Austere Hallway
Location(6146845642326016),Crypt Entrance
Location(6149655664001024),Bandit's Armory
Location(6153253135319040),Entrance Hall
Location(6154168545050624),Armory
Location(6157985310572544),Ancient Monster Graveyard
Location(6161360358473728),Dark Room
Location(6164385145290752),Dark Passage
Location(6166816767344640),Smoldering Mountain Ascent
Location(6166932471939072),Hallway
Location(6166964233830400),Old Mine Entrance
Location(6167875989012480),Forest
Location(6170397215031296),Forest Clearing
Location(6171154488229888),Burning Wastes
Location(6174236932571136),Aseridith Fort North Beach
Location(6175040815497216),Glowworm Cavern Passage
Location(6176624057253888),Gor'Grub Chieftain's Tent
Location(6177538387214336),Militia Barracks
Location(6180064303775744),Black Vanguard Camp Center
Location(6183638161948672),Cleared Path
Location(6187675022262272),Upper Level Lookout
Location(6189667690479616),Dead End
Location(6189750705717248),Troll Keep Sarcophagus
Location(6191236580900864),"Sneakdom, Reach Unending"
Location(6192307049332736),Hidden Staircase
Location(6196749400276992),Spectral Marsh
Location(6200083758710784),Lagoon's Descent
Location(6200092109570048),Instance2
Location(6200435167199232),Bandit's Lair Entrance
Location(6202368401604608),Coastline
Location(6204429643546624),Thorny Thicket
Location(6206022230212608),Sewer Tunnel
Location(6206475493965824),Aseridith Fort South Beach
Location(6207620016242688),Crumbling Gate
Location(6211039030935552),Aseridith Fort Outer Eastern Walls
Location(6214821817352192),Kamil Cavern
Location(6215675825094656),Execution Chamber
Location(6215703549968384),Blood Cattle Jail
Location(6215834292715520),Orc Camp
Location(6215992573427712),Fourth Circle of Hell
Location(6216376333107200),Troll King Cell
Location(6218239315279872),Black Vanguard Outpost: Command Center
Location(6220002709471232),OBSOLETE Misty Mountain Pass
Location(6224100074192896),"Kypros, the Forgotten Kingdom"
Location(6224690133860352),
Location(6225855610093568),Troll King's Quarters
Location(6226431107923968),Mine Cart 2
Location(6227591015432192),Secluded Waterfall
Location(6227676311846912),Barbarian Camp
Location(6229893146214400),Sacrificial Bar And Grill
Location(6230329764872192),Tops
Location(6231380530823168),High Road: Ogre Pass
Location(6232992473415680),Combat Site: Razor Flytrap
Location(6236159440060416),Sandy Desert Pass
Location(6237487269150720),abcdls second chamber of happiness
Location(6241705674407936),Black Vanguard Camp Outskirts
Location(6246844653109248),Bloody Battlefield
Location(6247590374932480),Volantis Countryside
Location(6248509229498368),High Road: Waterfall Clearing
Location(6249830075596800),Ninth Circle of Hell
Location(6253413332942848),Tomb of Gol'Shlanek
Location(6253812801077248),Sewer Tunnel
Location(6254263248617472),Debuff Instance End 9
Location(6254417368317952),Ethereal Prison
Location(6255055358394368),Nomad Camp Commons
Location(6255161906823168),Nakeen Boss Lobby
Location(6255519904301056),Blood Forest
Location(6258957962444800),Xaruk Forest
Location(6264460408258560),Fishing Boat 2
Location(6265261703823360),Seafall
Location(6265620614348800),abcdls TESTING ROOM
Location(6266011277852672),test frosty
Location(6266212415700992),Side Passage
Location(6271322019856384),Learning Grounds
Location(6273947297382400),OBSOLETE Leader's Quarters
Location(6275014248890368),Debuff Instance End Boss
Location(6275924844085248),Emerald Jungle
Location(6276748270370816),Aphelion Shrine
Location(6278529125974016),Glacial Temple: Eternal Hallway
Location(6280283730477056),Aphelion Shrine Interior
Location(6280794557644800),Reward Room
Location(6281921692172288),Unbound Training Room
Location(6281973190361088),Sewer Tunnel Entrance
Location(6282071481778176),Aseridith Fort Inner Eastern Wall
Location(6283085911425024),Combat site: Frost Giant Shaman
Location(6283395406495744),Merchant's Tent Interior
Location(6285907986481152),Aseridith Keep Dungeon
Location(6286600254259200),Sahuagin Outpost
Location(6286945395146752),Old Mine
Location(6291645965795328),Fake Marcusville Starting Point
Location(6293631388614656),SPF Raid Boss
Location(6293882619822080),Summoning Chamber
Location(6293969749147648),Danger Desert
Location(6294339986653184),Mass Crypt
Location(6295812922408960),Eastern Desert
Location(6298913263321088),Fisherman's Ferry
Location(6303104471400448),Old Mine
Location(6304554086039552),Hidden Path
Location(6304876738904064),Terlunn Ruins
Location(6312520429600768),Rocky Hill
Location(6317216115195904),Kyprite Temple
Location(6317536905789440),Aseridith Fort Secret Passage
Location(6317865015967744),Crystalline Caverns
Location(6317989675139072),Sea Cave
Location(6318243394617344),Descent
Location(6319154247237632),Rolling Dunes
Location(6319283330088960),Grand Forest 2
Location(6320860490104832),Observatory
Location(6322008249860096),Castle Keep
Location(6333156464001024),Fort's Luxurious Chambers
Location(6341317651070976),Entrance Hall
Location(6342061314015232),Instance1
Location(6343937617821696),Armory
Location(6344048805150720),Strange Servants Quarters
Location(6346252545425408),Sirian Inner Blacksmith Basement
Location(6346726843613184),Old Mine
Location(6347799369089024),Sewer Bend
Location(6350397415882752),Wave Pool
Location(6354138405273600),Notice Board
Location(6356537624756224),Aseridith Keep Gates
Location(6360201016377344),Stalagmite Cavern
Location(6366052439293952),Glacial Temple: Core Chamber
Location(6367151093186560),Instance Start
Location(6373434477248512),Xaruk Forest
Location(6378969398247424),Frozen Chamber
Location(6383563180343296),Hidden Alcove
Location(6387411726630912),Alderai Trail
Location(6399981554499584),Sand Worm Cell
Location(6401380170334208),Aseridith Fort Outer Western Walls
Location(6402008915640320),Kayoak Village Ascent
Location(6406519973478400),Old Kayoak Church
Location(6407358202249216),Gloomy Descent
Location(6412108060164096),Lost Sea
Location(6412814696841216),Xaruk Outskirts
Location(6413200795107328),Kayoak Fields
Location(6415179777572864),Dried Lakebed
Location(6415820758450176),Musty Dungeon
Location(6415851780046848),Damp Tunnel
Location(6421058082045952),Combat site: Orc Prince
Location(6422496643383296),Hidden Passage
Location(6423272366276608),Passage Fork
Location(6424505056755712),Alteru's Arena
Location(6426849307787264),Main Corridor
Location(6429358555136000),Eastern Desert
Location(6430490084507648),Darkwood Trail
Location(6430890083221504),Dense Jungle
Location(6436691348291584),Cliff-side Trail
Location(6437181298049024),Keep Hallway 4
Location(6437722859241472),Strange Empty Room
Location(6438584894619648),MGM Grand
Location(6439113737109504),Deep Emerald Jungle
Location(6444275399131136),Cricketon Battle
Location(6447747551461376),Mine Cart Start
Location(6448316511944704),Niks Test Location4
Location(6448560694624256),Black Vanguard Camp
Location(6451896701419520),Misty Mountain Pass
Location(6452473855213568),Troll Dig
Location(6452474611761152),Forest Trail
Location(6456087334092800),Rolling Dunes
Location(6456151801856000),Gnoll Slave Camp
Location(6459032935071744),Grand Room
Location(6461666749579264),Debuff Instance End 11
Location(6462885076664320),Reward Room
Location(6463123390726144),Cave
Location(6471688447328256),The Tomb
Location(6473361068130304),The Grimoire
Location(6475440403513344),Chapel Combat Room
Location(6475699447136256),Dernhelm Basin Lookout
Location(6477065496821760),Fort Black: Throne Room
Location(6477636801134592),Deserted Room
Location(6479938689957888),Sapphire Way
Location(6482245036802048),Aseridith Secret Staircase
Location(6483513767362560),Winding River
Location(6483610526285824),Glacial Temple
Location(6491840832864256),Trail Head
Location(6493907437223936),Claw Marked Crevice
Location(6494237925310464),Keep Storage 2
Location(6495208090894336),Eridis Climb
Location(6496688202317824),Gloomy Descent
Location(6498136254054400),Aseridith Fort Warehouse
Location(6502048896122880),Mortachiani Valley
Location(6503793394974720),Lizardfolk Marshland
Location(6503797166702592),NJ Test Shrine
Location(6503818344792064),The Black Rift
Location(6507841346076672),Narrow Stairway
Location(6508451421224960),Old Mine
Location(6508838653001728),Depraved Wilds
Location(6509379081732096),North Mountain Range Stone Tower
Location(6510382176272384),Kobold Camp
Location(6516437776072704),Cavern Atrium
Location(6516680261894144),Church Door
Location(6517077053800448),Left Passage
Location(6519200453492736),Tunnel Climb
Location(6519823672803328),The Depths
Location(6519881741631488),McLeod Family Vault
Location(6519992925814784),Northern Waterfall
Location(6521777110908928),Artius River
Location(6522286975221760),Vault Entrance
Location(6526462635016192),Old Mine
Location(6527010146877440),Combat Site: Shadow of a Behemoth
Location(6530123043438592),Knights Quarters
Location(6530427779022848),Mountain Plains
Location(6530887495974912),Normal Combat Location
Location(6533289986228224),Goliath Gulch
Location(6534321435312128),Sand-Swept Valley
Location(6543544094818304),Fishing Boat 3
Location(6547794064310272),Flooded Marsh
Location(6548825284018176),Epic Battle Site
Location(6548937896886272),Old Cemetery Entrance
Location(6551743882330112),Halissa Forest
Location(6553692358836224),Kyprite Castle Exterior
Location(6555136169082880),Long Hallway
Location(6558996028194816),Tomb of Gol'Shlanek
Location(6559762615369728),Old Mine
Location(6563390277287936),Castle Courtyard
Location(6565922299445248),Crystal Cave Pool
Location(6568066802515968),Sirian Outer Mine Entrance
Location(6568072999075840),Forsaken Ruins Entrance
Location(6568271178891264),Mine Cart 3
Location(6569181374316544),Frozen Squeeze
Location(6571210251960320),Hidden Pass
Location(6571276102533120),East Library
Location(6576470182854656),Tomb Treasure Room
Location(6583792934322176),Aseridith Fort Inner Western Wall
Location(6585835595497472),Dutchmans Basement
Location(6586834871123968),Rundown Desert Town
Location(6589065205907456),Crypt Hub
Location(6596617597616128),Keep Treasury 2
Location(6601784795070464),Aseridith Prison Cells
Location(6605352686059520),vulv_High Road
Location(6607074943303680),Sand-Swept Plains
Location(6608541406199808),Kujir Marsh
Location(6612503347855360),Ogre Pass Tower
Location(6615188136525824),Family Burial Grounds
Location(6615857679040512),Gulch Valley Training Grounds
Location(6616118777348096),Nakeen's Test Room4
Location(6616739106258944),Northern Hills
Location(6620819140116480),Underwater Passage
Location(6621595326218240),Reward Hallway
Location(6624413564272640),Arena Pit
Location(6626420507803648),Old Mine
Location(6632273700978688),Canyon Cave Entrance
Location(6633339873132544),First Floor Staircase
Location(6636087694327808),Arena Hallway
Location(6638873742409728),Aseridith Commander's Quarters
Location(6641283818323968),Rocky Hill
Location(6644088722948096),Strange Empty Room
Location(6645239480582144),Training Grounds
Location(6646234595983360),Portal Room
Location(6647327326470144),The Cloud
Location(6648810576543744),Niks Test Location2
Location(6650066421153792),Kamil Descent
Location(6650627125411840),Fleet Training Room
Location(6652458455531520),Aseridith Fort Warehouse
Location(6652612632117248),Aseridith Secret Laboratory
Location(6652664385634304),Desolate Wasteland
Location(6652731058028544),Dense Jungle
Location(6653464683741184),Winding River
Location(6659883848171520),Hallway Three
Location(6661507124822016),Drub'Lak Chieftain's Tent
Location(6662145816657920),Goliath Gulch Fork
Location(6664887786799104),High Road: Forest
Location(6673370652344320),Nomad Conclave
Location(6674999641636864),Arena Pit Three
Location(6676281873924096),Arena Pit Five
Location(6684012370198528),The Bay
Location(6685398327885824),Reward Room
Location(6687666936479744),Bloody Cavern
Location(6687875824877568),Glittering Cavern
Location(6689992051523584),River Rock Road
Location(6692708389224448),Orc Keep
Location(6693763795124224),Darkwood Trail
Location(6694401946681344),[CODE] Test Camps
Location(6696628299759616),Nors Plains
Location(6698542882357248),Cyrilla: Top Deck
Location(6699801475284992),Gaping Cave
Location(6708023485530112),High Road: Dense Forest
Location(6712913624563712),OBSOLETE Misty Forest
Location(6713268504625152),Old Mine
Location(6713737503571968),Spargus Arena
Location(6715206252363776),Debuff Instance End 8
Location(6716823511760896),Testing Chamber 04
Location(6719807435046912),Aseridith Fort East Beach
Location(6722752167280640),Goliath Gulch River
Location(6725892702732288),Hidden Passage
Location(6727923705053184),Arena Pit One
Location(6729009313873920),Mineshaft
Location(6729289851469824),Nomad Camp Perimeter
Location(6729726053318656),Gulchtop Overlook
Location(6730044487499776),Ferry
Location(6730589667852288),Obsidian Passageway
Location(6737764410720256),Dwarven Ruins
Location(6737975037657088),Sirian Guardtower Top
Location(6740904330133504),Troll Keep Hub
Location(6742305497677824),Atlas Trail Entrance
Location(6743743793463296),Arena Pit
Location(6748028989341696),Mineshaft
Location(6750705392025600),Aera Outpost
Location(6751859294863360),Mineshaft
Location(6752176053420032),Hidden Cave Entrance
Location(6753946298744832),Main Chamber
